Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294682887,0.273892774,0.309437864,0.313901343,0.101522843,0.117408907,0.120350109,0.097282791,0.035343709,0.057858634,0.070397644,0.067767654,0.013391637,0.064667988,0.034742531,0.041952887,0.194032965,0.237767734,0.354408226,0.202641166,0.201185938,0.185857723,0.232335286,0.267468535,0.272810087,1.765620547,1.815559329,1.126928574,1.009013495,1.340364693,1.146686336,0
Africa Eastern and Southern,0,0,0,0,0,0,0,0.536917531,0.544356512,0.6104087,0.668003661,0.74374405,0.995250749,1.07105314,1.052097349,1.038997245,0.813034412,0.952875085,0.89606186,0.99170255,0.77200477,0.713281426,0.915648643,0.822482413,0.911564362,0.862613033,0.730550755,0.983926964,1.098126623,1.152518775,1.094970137,0.892926307,1.049124733,0.92579715,0.954916773,0.678690029,0.690161148,0.717750477,0.797144829,0.908642022,0.913909861,0.979610356,0.985386652,0.963686262,1.056650429,1.189599013,1.034992358,0.989759422,1.356090075,1.441104593,1.486589265,1.502542585,1.500187124
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873584804,1.157524212,2.419153378,0.984675572,1.086026159,1.688178842,1.232898477,1.743285395,3.483497917,4.353917518,4.362628514,4.382934258,3.916494188,2.057170801,0
Africa Western and Central,0,0,0,0,0,0,0,0.427749722,0.477021778,0.426450432,0.478405025,0.226284868,0.200320616,0.268204348,0.282326377,0.361256048,0.51712936,0.529213389,0.58537308,0.629170582,0.595254918,0.64909089,0.745159491,1.557061394,1.418025649,0.987768277,0.890883742,1.038901652,0.941746987,1.585401408,1.637817751,1.478071707,1.352062763,1.344150952,1.696486902,5.378971865,4.890064526,4.532720519,4.015089996,4.304834306,3.976782974,4.050312661,3.75430751,3.366735344,3.250794028,4.061352182,4.105719676,4.613420313,4.505671531,3.961669535,3.713672509,3.995980983,3.966186498
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068314396,0,0,0,0,0,0,0,0,0,0,0,0.092709778,0.000230927,0.021997725,0.000187096,0.032279545,0.027464001,0.022566393,0.012743408,0.008001623,0.002056168,0.002030065,0.00497117,0.016028725,0.019229757,0.013124371
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.27596153,28.00942102,16.32684866,17.85800219,17.21755753,13.29635342,19.80153266,12.6769794,17.17640745,17.82973046,16.87117035,15.83799653,16.15480677,16.01703861,15.28165315,13.74894946,14.48280768,14.2616132,13.30245685,12.04024031,11.52428262,10.0330744,10.74230124,11.33643766,11.01076776,10.07565298,9.621069257,9.562581956,9.668356595,9.583389631,9.242857257
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668748058,1.64013507,0,0
Arab World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.047610477,1.877988328,1.947668465,1.766442151,1.859840861,1.874597406,1.792673715,1.928481665,1.946047954,2.160983337,2.291310653,2.277458727,2.337527634,2.287738493,2.384668924,2.79134721,2.857315826,2.129646348
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0.02919726,0.06064778,0.072763254,0.053382925,0.03321176,0.026928487,0.0273703,0.030629299,0.030225071,0.031246874,0.023863145,0.034660177,0.016158171,0.010078011,0.006731387,0.024372553,0.024238658,0.02464813,0.02388391,0.022434004,0.022913665,0.022678936,0.030380901,0.070562818,0.211442421,0.214300875,0.189350127,0.217417891,0.232474118,0.210933765,0.195029381,0.188764794,0.152091368,0.131541794,0.105778682,0.096916675,0.096015201,0.083133102,0.070234323,0.074567478,0.099546817,0.125380808,0.168859244,0.187097874,0.198887287
