Year,country_code,country_name,new_income_group,new_region,population,remittance_growth_rate,remittance_paid,remittance_per_capita,remittance_received,remittance_to_gdp_ratio,remittance_volatility,unemployment_rate,unemployment_rate_change,net_migration,gdp,remittance_to_gdp_ratio1
1970,AFG,Afghanistan,Low income,South Asia,10752971,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,4458,1748886596.0,0.0
1971,AFG,Afghanistan,Low income,South Asia,11015857,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-12801,1831108971.0,0.0
1972,AFG,Afghanistan,Low income,South Asia,11286753,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-4050,1595555476.0,0.0
1973,AFG,Afghanistan,Low income,South Asia,11575305,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-3030,1733333264.0,0.0
1974,AFG,Afghanistan,Low income,South Asia,11869879,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-20009,2155555498.0,0.0
1975,AFG,Afghanistan,Low income,South Asia,12157386,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-44418,2366666616.0,0.0
1976,AFG,Afghanistan,Low income,South Asia,12425267,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-85430,2555555567.0,0.0
1977,AFG,Afghanistan,Low income,South Asia,12687301,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-83115,2953333418.0,0.0
1978,AFG,Afghanistan,Low income,South Asia,12938862,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-117186,3300000109.0,0.0
1979,AFG,Afghanistan,Low income,South Asia,12986369,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-481199,3697940410.0,0.0
1980,AFG,Afghanistan,Low income,South Asia,12486631,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-1205401,3641723322.0,0.0
1981,AFG,Afghanistan,Low income,South Asia,11155195,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-2127145,3478787909.0,0.0
1982,AFG,Afghanistan,Low income,South Asia,10088289,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-586943,0.0,
1983,AFG,Afghanistan,Low income,South Asia,9951449,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-192869,0.0,
1984,AFG,Afghanistan,Low income,South Asia,10243686,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,322022,0.0,
1985,AFG,Afghanistan,Low income,South Asia,10512221,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-210572,0.0,
1986,AFG,Afghanistan,Low income,South Asia,10448442,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-427073,0.0,
1987,AFG,Afghanistan,Low income,South Asia,10322758,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-402606,0.0,
1988,AFG,Afghanistan,Low income,South Asia,10383460,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-89837,0.0,
1989,AFG,Afghanistan,Low income,South Asia,10673168,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,2683,0.0,
1990,AFG,Afghanistan,Low income,South Asia,10694796,0.0,0.0,0.0,0.0,0.0,293485541.0,0.0,0.0,-666001,0.0,
1991,AFG,Afghanistan,Low income,South Asia,10745167,0.0,0.0,0.0,0.0,0.0,293485541.0,8.121,0.0,39926,0.0,
1992,AFG,Afghanistan,Low income,South Asia,12057433,0.0,0.0,0.0,0.0,0.0,293485541.0,8.168,0.047,1834556,0.0,
1993,AFG,Afghanistan,Low income,South Asia,14003760,0.0,0.0,0.0,0.0,0.0,293485541.0,8.123,-0.045,1171818,0.0,
1994,AFG,Afghanistan,Low income,South Asia,15455555,0.0,0.0,0.0,0.0,0.0,293485541.0,8.111,-0.012,665410,0.0,
1995,AFG,Afghanistan,Low income,South Asia,16418912,0.0,0.0,0.0,0.0,0.0,293485541.0,8.26,0.149,71824,0.0,
1996,AFG,Afghanistan,Low income,South Asia,17106595,0.0,0.0,0.0,0.0,0.0,293485541.0,8.165,-0.095,27194,0.0,
1997,AFG,Afghanistan,Low income,South Asia,17788819,0.0,0.0,0.0,0.0,0.0,293485541.0,8.089,-0.076,6129,0.0,
1998,AFG,Afghanistan,Low income,South Asia,18493132,0.0,0.0,0.0,0.0,0.0,293485541.0,8.082,-0.007,35740,0.0,
1999,AFG,Afghanistan,Low income,South Asia,19262847,0.0,0.0,0.0,0.0,0.0,293485541.0,8.07,-0.012,85758,0.0,
2000,AFG,Afghanistan,Low income,South Asia,19542982,0.0,0.0,0.0,0.0,0.0,293485541.0,8.054,-0.016,-1007135,0.0,
2001,AFG,Afghanistan,Low income,South Asia,19688632,0.0,0.0,0.0,0.0,0.0,293485541.0,8.04,-0.014,-192286,0.0,
2002,AFG,Afghanistan,Low income,South Asia,21000256,0.0,0.0,0.0,0.0,0.0,293485541.0,8.186,0.146,1327074,3854235264.0,0.0
2003,AFG,Afghanistan,Low income,South Asia,22645130,0.0,0.0,0.0,0.0,0.0,293485541.0,8.122,-0.064,388632,4539496563.0,0.0
2004,AFG,Afghanistan,Low income,South Asia,23553551,0.0,0.0,0.0,0.0,0.0,293485541.0,8.053,-0.069,-248616,5220825049.0,0.0
2005,AFG,Afghanistan,Low income,South Asia,24411191,0.0,0.0,0.0,0.0,0.0,293485541.0,8.113,0.06,252185,6226198935.0,0.0
2006,AFG,Afghanistan,Low income,South Asia,25442944,0.0,0.0,0.0,0.0,0.0,293485541.0,8.054,-0.059,62684,6971383339.0,0.0
2007,AFG,Afghanistan,Low income,South Asia,25903301,0.0,0.0,0.0,0.0,0.0,293485541.0,8.108,0.054,-942887,9715765105.0,0.0
2008,AFG,Afghanistan,Low income,South Asia,26427199,inf,216603835.9,3.388192443,89540435.95,102497703.2,293485541.0,8.022,-0.086,221000,10249770319.0,0.008735848039835478
2009,AFG,Afghanistan,Low income,South Asia,27385307,57.13031192,624996676.8,5.137615083,140695166.3,121548357.1,293485541.0,8.082,0.06,-58881,12154835708.0,0.011575242124202311
2010,AFG,Afghanistan,Low income,South Asia,28189672,168.8128291,788698416.8,13.41649725,378206657.0,156338436.6,293485541.0,8.068,-0.014,-141355,15633843662.0,0.02419153377612943
2011,AFG,Afghanistan,Low income,South Asia,29249157,-52.64055825,454083462.0,6.123819616,179116561.4,181904138.3,293485541.0,7.947,-0.121,418796,18190413832.0,0.009846755717283563
2012,AFG,Afghanistan,Low income,South Asia,30466479,22.49905078,323642538.3,7.201885308,219416087.5,202035729.7,293485541.0,8.019,0.072,105905,20203572960.0,0.010860261595036207
2013,AFG,Afghanistan,Low income,South Asia,31541209,58.22235086,444730790.5,11.00672114,347165291.8,205644854.2,293485541.0,7.949,-0.07,48076,20564485419.0,0.016881788419526707
2014,AFG,Afghanistan,Low income,South Asia,32716210,-27.0181013,524163478.5,7.744412375,253367821.6,205505827.4,293485541.0,7.91,-0.039,255611,20550582747.0,0.012328984765017767
2015,AFG,Afghanistan,Low income,South Asia,33753499,37.59628792,228991809.2,10.32855045,348624717.3,199981436.4,293485541.0,8.989,1.079,-281739,19998143636.0,0.017432853951124608
