Year,country_code,country_name,gdp,income_group,region,population,remittance_growth_rate,remittance_paid,remittance_per_capita,remittance_received,remittance_to_gdp_ratio,remittance_volatility,unemployment_rate,unemployment_rate_change
1970,AFG,Afghanistan,0.0,Low income,South Asia,10752971.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1971,AFG,Afghanistan,0.0,Low income,South Asia,11015857.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1972,AFG,Afghanistan,0.0,Low income,South Asia,11286753.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1973,AFG,Afghanistan,0.0,Low income,South Asia,11575305.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1974,AFG,Afghanistan,0.0,Low income,South Asia,11869879.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1975,AFG,Afghanistan,0.0,Low income,South Asia,12157386.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1976,AFG,Afghanistan,0.0,Low income,South Asia,12425267.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1977,AFG,Afghanistan,0.0,Low income,South Asia,12687301.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1978,AFG,Afghanistan,0.0,Low income,South Asia,12938862.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1979,AFG,Afghanistan,0.0,Low income,South Asia,12986369.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1980,AFG,Afghanistan,0.0,Low income,South Asia,12486631.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1981,AFG,Afghanistan,0.0,Low income,South Asia,11155195.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1982,AFG,Afghanistan,0.0,Low income,South Asia,10088289.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1983,AFG,Afghanistan,0.0,Low income,South Asia,9951449.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1984,AFG,Afghanistan,0.0,Low income,South Asia,10243686.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1985,AFG,Afghanistan,0.0,Low income,South Asia,10512221.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1986,AFG,Afghanistan,0.0,Low income,South Asia,10448442.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1987,AFG,Afghanistan,0.0,Low income,South Asia,10322758.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1988,AFG,Afghanistan,0.0,Low income,South Asia,10383460.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1989,AFG,Afghanistan,0.0,Low income,South Asia,10673168.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1990,AFG,Afghanistan,0.0,Low income,South Asia,10694796.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,0.0,0.0
1991,AFG,Afghanistan,0.0,Low income,South Asia,10745167.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.121,0.0
1992,AFG,Afghanistan,0.0,Low income,South Asia,12057433.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.168,0.0469999999999988
1993,AFG,Afghanistan,0.0,Low income,South Asia,14003760.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.123,-0.0449999999999999
1994,AFG,Afghanistan,0.0,Low income,South Asia,15455555.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.111,-0.0119999999999986
1995,AFG,Afghanistan,0.0,Low income,South Asia,16418912.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.26,0.1489999999999991
1996,AFG,Afghanistan,0.0,Low income,South Asia,17106595.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.165,-0.0950000000000006
1997,AFG,Afghanistan,0.0,Low income,South Asia,17788819.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.089,-0.0759999999999987
1998,AFG,Afghanistan,0.0,Low income,South Asia,18493132.0,0.0,0.0,0.0,0.0,0.0,293485540.99546325,8.082,-0.0069999999999996
