country_name,country_code,Year,remittance_received,remittance_paid,gdp,unemployment_rate
Aruba,ABW,1970,0.0,0.0,0.0,0.0
Afghanistan,AFG,1970,0.0,0.0,0.0,0.0
Angola,AGO,1970,0.0,0.0,0.0,0.0
Albania,ALB,1970,0.0,0.0,0.0,0.0
Andorra,AND,1970,0.0,0.0,0.0,0.0
United Arab Emirates,ARE,1970,0.0,0.0,0.0,0.0
Argentina,ARG,1970,0.0,0.0,0.0,0.0
Armenia,ARM,1970,0.0,0.0,0.0,0.0
American Samoa,ASM,1970,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,1970,0.0,0.0,0.0,0.0
Australia,AUS,1970,180320037.8,66080009.46,0.436255272,0.0
Austria,AUT,1970,16576923.37,24692306.52,0.107831376,0.0
Azerbaijan,AZE,1970,0.0,0.0,0.0,0.0
Burundi,BDI,1970,0.0,0.0,0.0,0.0
Belgium,BEL,1970,0.0,0.0,0.0,0.0
Benin,BEN,1970,0.0,0.0,0.0,0.0
Burkina Faso,BFA,1970,0.0,0.0,0.0,0.0
Bangladesh,BGD,1970,0.0,0.0,0.0,0.0
Bulgaria,BGR,1970,0.0,0.0,0.0,0.0
Bahrain,BHR,1970,0.0,0.0,0.0,0.0
"Bahamas, The",BHS,1970,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,BIH,1970,0.0,0.0,0.0,0.0
Belarus,BLR,1970,0.0,0.0,0.0,0.0
Belize,BLZ,1970,0.0,0.0,0.0,0.0
Bermuda,BMU,1970,0.0,0.0,0.0,0.0
Bolivia,BOL,1970,0.0,0.0,0.0,0.0
Brazil,BRA,1970,0.0,0.0,0.0,0.0
Barbados,BRB,1970,4400000.095,550000.0119,0.0,0.0
Brunei Darussalam,BRN,1970,0.0,0.0,0.0,0.0
Bhutan,BTN,1970,0.0,0.0,0.0,0.0
Botswana,BWA,1970,0.0,0.0,0.0,0.0
Central African Republic,CAF,1970,0.0,0.0,0.0,0.0
Canada,CAN,1970,0.0,0.0,0.0,0.0
Switzerland,CHE,1970,0.0,0.0,0.0,0.0
Channel Islands,CHI,1970,0.0,0.0,0.0,0.0
Chile,CHL,1970,0.0,0.0,0.0,0.0
China,CHN,1970,0.0,0.0,0.0,0.0
Cameroon,CMR,1970,0.0,0.0,0.0,0.0
"Congo, Dem. Rep.",COD,1970,0.0,0.0,0.0,0.0
"Congo, Rep.",COG,1970,0.0,0.0,0.0,0.0
Colombia,COL,1970,26000000.0,13000000.0,0.36119336,0.0
Comoros,COM,1970,0.0,0.0,0.0,0.0
Cabo Verde,CPV,1970,0.0,0.0,0.0,0.0
Costa Rica,CRI,1970,0.0,0.0,0.0,0.0
Cuba,CUB,1970,0.0,0.0,0.0,0.0
Cayman Islands,CYM,1970,0.0,0.0,0.0,0.0
Cyprus,CYP,1970,0.0,0.0,0.0,0.0
Czechia,CZE,1970,0.0,0.0,0.0,0.0
Germany,DEU,1970,0.0,0.0,0.0,0.0
Djibouti,DJI,1970,0.0,0.0,0.0,0.0
Dominica,DMA,1970,0.0,0.0,0.0,0.0
Denmark,DNK,1970,0.0,0.0,0.0,0.0
Dominican Republic,DOM,1970,25100000.38,0.0,1.689666804,0.0
Algeria,DZA,1970,211000000.0,0.0,4.338415406,0.0
Ecuador,ECU,1970,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",EGY,1970,0.0,0.0,0.0,0.0
Eritrea,ERI,1970,0.0,0.0,0.0,0.0
Spain,ESP,1970,0.0,0.0,0.0,0.0
Estonia,EST,1970,0.0,0.0,0.0,0.0
Ethiopia,ETH,1970,0.0,0.0,0.0,0.0
Finland,FIN,1970,0.0,0.0,0.0,0.0
Fiji,FJI,1970,0.0,0.0,0.0,0.0
France,FRA,1970,0.0,0.0,0.0,0.0
Faroe Islands,FRO,1970,0.0,0.0,0.0,0.0
"Micronesia, Fed. Sts.",FSM,1970,0.0,0.0,0.0,0.0
Gabon,GAB,1970,0.0,0.0,0.0,0.0
United Kingdom,GBR,1970,0.0,0.0,0.0,0.0
