,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2569832.325,2625698.328,3351955.414,3910614.491,1340782.123,1620111.732,1843575.419,1620111.732,608938.5475,1083798.883,1335195.531,1329608.939,273743.0168,1458100.559,819846.0963,1036166.002,5195530.726,6759776.536,9050279.33,4972067.039,5307262.57,4860335.196,6337950.838,7465211.173,8083713.408,52682566.15,56140340.16,36920295.45,34264018.27,35002157.94,35845637.16051119,38203853.35339782
1,Africa Eastern and Southern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22659994.13,22638212.21,30732321.74,28418270.11,48835701.25,222109242.7,248793852.6,357418043.2,411297570.1,555940080.1,878786379.4,1071196790.0,1321885469.0,1532407269.0,1361742076.0,1093022948.0,989016132.4,1416188048.0,1462145055.0,1737838423.0,1651896840.0,1626667942.0,1816978652.0,1616569780.0,1920518110.0,2018399025.0,1729240917.0,2375641194.0,2519054550.0,2697573266.0,2604068623.0,1998851127.0,2342595416.0,2880425019.0,3711097136.0,3400273865.0,3885943670.0,4637992842.0,5637705269.0,6529057493.0,7855154600.0,9436889410.0,9539960622.0,9473585444.0,10608582181.0,10991470022.0,10178693479.0,10677850825.0,14314470632.0,13888445465.0,14031938759.0,14031938759.0,14031938759.0
2,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89540435.95,140695166.3,378206657.0,179116561.4,219416087.5,347165291.8,253367821.6,348624717.3,627710802.4,822731630.2,803546453.8,828571904.1,788917115.2,300000000.0,350000000.0
3,Africa Western and Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60248103.62,139998419.5,170825509.3,245958070.8,305453695.3,380800574.4,518917396.0,463998938.1,364134025.5,359196532.1,311697347.2,409886754.1,552424634.6,579776508.0,634503545.9,637025980.6,711095246.7,744048879.5,875127137.3,1524387332.0,1198252979.0,1033892976.0,1087241699.0,1278708493.0,1186080345.0,2081216506.0,2197264227.0,2085343579.0,2286595770.0,2635146674.0,4102042871.0,16722587942.0,19409494896.0,21098681429.0,22795493921.0,21882210360.0,23801409771.0,27622665816.0,27691428239.0,28076549123.0,29071300858.0,31217029490.0,28377933322.0,31584313233.0,34552486785.0,34900557936.0,28510366089.0,28510366089.0,28510366089.0
4,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5142000.0,5142000.0,5142000.0,5142000.0,5142000.0,5142000.0,5142000.0,5142000.0,5142000.0,0.0,0.0,0.0,82084000.0,162358.5,17972037.0,204751.1,40348853.99,36637411.34,30971119.27,11114711.6,3988048.38,1418195.84,1579247.15,3445473.468,8053050.894,12631149.3197743,14005491.47631333
5,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151800000.0,332000000.0,307100000.0,427300000.0,550900000.0,300300000.0,504140000.0,407200000.0,597800000.0,699300000.0,733570000.0,888748582.3,1160672105.0,1289704316.0,1359467325.0,1468020000.0,1865581564.0,1717698012.0,1586574271.0,1552078514.0,1419772515.0,1281848114.0,1421007454.0,1290863508.0,1306009167.0,1311822432.0,1458210056.0,1472812242.0,1465987212.0,1718355918.3217921,1745245135.7665093
6,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53001417.77305248,53001417.77305248
7,Arab World,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211000000.0,238000000.0,247719978.3,269739208.2,276823417.7,966117778.4,1355695710.0,2637034422.0,4405529374.0,5563872498.0,6403246145.0,5907729369.0,5862270294.0,7173076351.0,7371483942.0,6449093711.0,6277412014.0,7601042249.0,7479027556.0,6950298995.0,9699913089.0,9774454435.0,12849686882.0,11791714151.0,10391224182.0,10655741100.0,10697809478.0,11492129404.0,11922113929.0,11621826045.0,11476946813.0,12851715142.0,15829429504.0,20315498457.0,23393335357.0,22640992845.0,24459749069.0,29515131560.0,33884270768.0,31754690365.0,37780646735.0,38944864662.0,45933616317.0,47228856825.0,53122149553.0,49328023741.0,48647574275.0,51685563033.0,54416712131.0,56486109879.0,58222624106.0,58222624106.0,58222624106.0
8,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26000000.0,42000000.0,56000000.0,42000000.0,28000000.0,28000000.0,32000000.0,27000000.0,32000000.0,34000000.0,30280000.69,26559999.47,22840000.15,19120000.84,15399999.62,57700000.76,62400001.53,63600000.0,65000000.0,65700000.0,68500000.0,64300000.0,86343658.59,189600000.0,206630000.0,273420000.0,311780000.0,432090000.0,540635441.9,606498926.5,705144403.4,628542376.1,644300740.1,697379575.1,577532962.1,535004409.4,505346891.7,494433532.1,391579047.7,479937459.8,522441503.0,541741886.7,630973885.3,911591594.092384,1258499654.1753652
