Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,64916201.12,63910614.53,67821229.05,66652368.72,70222692.18,74978013.41,98052501.99,108045520.4,111650956.9,112627597.6,96888358.76
Africa Eastern and Southern,AFE,3162757292,3993999050,5297552903,5726217634,6397280741,5086994446,4369859095,4630339871,5026220142,4881004676,3540348170
Afghanistan,AFG,788698416.8,454083462,323642538.3,444730790.5,524163478.5,228991809.2,167894464.3,143979106.2,234618700.6,217292318,225420606.5
Africa Western and Central,AFW,2197467365,2320303794,2801878776,2951769174,2963160873,6049080679,4978726214,3921943211,3927922615,2823536618,935600192.6
Angola,AGO,714458886,564261541.6,2051320868,2395965856,2746615873,1252909012,1176110314,961415276.2,681627015.5,549082042.6,576471436.8
Albania,ALB,209306821.6,150855105.3,215775643.9,190551293.6,178722842.2,153312400.5,147156757.4,106330982.9,114879336.9,119679640.8,124630375.7
Andorra,AND,,,,,,,,,,91484853.44,
Arab World,ARB,54239338856,67661826415,74494429135,85596649517,87003954094,86616836930,84701505741,81955127495,80930124792,74051579408,64084248327
United Arab Emirates,ARE,,,,,,,,,,,
Argentina,ARG,1037765446,1137054506,979205922.3,887803486.6,732414557.1,685001365.9,769242058,1060484530,1010375536,694899063.1,545151525.2
Armenia,ARM,227429876.3,300394193.5,314788691.7,355297861.2,390589978.8,363788468.8,358015507.1,367496443.8,341256855.4,362693785.1,304365569.4
American Samoa,ASM,,,,,,,,,,,
Antigua and Barbuda,ATG,2066960,2047116.296,2157660.741,2222448.148,52088361.55,52822644.38,54742927.5,55445390.11,56851001.17,,
Australia,AUS,4655461397,6597638171,7084418882,6966095311,6767306885,6037610107,6179374298,6793253707,7267729294,7439097689,4428525366
Austria,AUT,2989978305,3622755852,3450702386,3895700779,4962526962,4750215268,4885123591,5369093592,5924780884,5873948214,5877856118
Azerbaijan,AZE,953589000,1279630000,2072681000,1902602000,2031324000,1293019000,740236000,603318000,579500000,621549000,731878000
Burundi,BDI,4957959.182,6163321.192,5235126.899,6978499.112,14846058.03,21041437.16,19085453.31,15722808.12,19331789.25,,
Belgium,BEL,4142285273,4504366771,4303018198,4548072301,5251309838,4441158754,4564818716,4747435274,5612494418,5336033788,6223370195
Benin,BEN,63440509.31,61631882.65,87741932.92,101062518.8,144363284.7,98216933.46,88136694.41,72946194.17,94458843.34,87497446.54,
Burkina Faso,BFA,111897013,42037257.87,71420129.87,148953261.9,160554578.5,180767735.8,188062679.7,198931795.9,208745502.4,196545204.7,
Bangladesh,BGD,9418584.307,11612731.71,11741740.26,19553597.14,32521361.43,32102746.72,41213540.69,46838244.51,56932184.62,82792588.33,94827809.11
Bulgaria,BGR,90350000,104540000,107090000,161950000,169060000,114850000,126530000,163040000,195080000,204570000,189120000
Bahrain,BHR,1641755319,2050000000,2074468085,2165957447,2364361702,2367287234,2391489362,2465957447,3268882979,,
"Bahamas, The",BHS,88040000,119727000,139704000,138725000,150819241,178800140.7,193848517.9,262328167.5,210701450.4,200464028,235170300
Bosnia and Herzegovina,BIH,46440159.07,51680114.14,46846961.26,48445049.04,46847045.16,55544289.46,60512502.94,63649593.43,83628912.5,84373799.56,96760344.48
Belarus,BLR,115700000,133800000,141700000,150800000,181200000,162300000,123800000,137800000,159900000,185900000,245200000
Belize,BLZ,21991807.71,23529361.44,26326846.23,31523217.67,33269797.51,41161360.53,45202220.8,45607619.89,42979100.74,41881051.83,42407418.74
Bermuda,BMU,238623065.8,215424493.8,217148645.7,218784177.2,224147086.9,186973109.8,213856867.8,218383822,197545233.4,198609831.9,
Bolivia,BOL,101784071.7,117258563.5,147112672.3,172158814.2,180137043.9,210175743.5,222250464.3,232927804.4,251815643.3,307174532.3,215679931.6
Brazil,BRA,1023656775,1123817122,1063670887,1150189008,1538775897,1339086890,1385076006,2238140844,2253247430,2231583198,1607787352
Barbados,BRB,35029244.53,56726261.54,52694935,63896785.98,62510666.95,54531589.64,51599735.78,,,,
Brunei Darussalam,BRN,,,,,,,,,,,10149953.86
Bhutan,BTN,70779765.67,92283274.05,73765182.33,57949829.29,52119521.97,54958721.17,52526250.44,52589438.24,57524189.42,64990915.75,47980514.8
Botswana,BWA,99754459.86,122311487,124130509,97489264.39,105396857.5,94742111.7,80447980.8,81246534.89,63438910.57,99403760.85,163602998.2
Central African Republic,CAF,,,,,,,,,,,
Canada,CAN,5290453957,5557756828,5629382995,5702499908,5948213017,5114157604,5255722465,6482765219,7521774380,8390566845,6538041231
Central Europe and the Baltics,CEB,5466761297,6234406823,6145089406,6145513107,7544538556,7066948089,8423109023,11249040300,13925311379,14969228635,13691541158
Switzerland,CHE,18511536218,23679612734,23739901218,25338232377,26816863787,26030808270,26049361425,26935467093,27674961109,28179792022,27964775772
Channel Islands,CHI,,,,,,,,,,,
Chile,CHL,148788989,177089471,237627483,310104616,304434933,386476769,345594093.5,492037287.3,623866299.7,722743058.6,774098058
China,CHN,1455455375,1618147148,1788058506,1714202599,4155302052,5718191073,6210890956,16253286877,16548078396,15135300288,18120882932
Cote d'Ivoire,CIV,726293253.8,728565816.8,694444945.5,736281654.2,746866785.9,649769213.5,715984964.1,847275830.9,919027300.7,908280381.8,
Cameroon,CMR,54232641.82,80717476.77,72900867.54,65130642.84,82226627.42,75607434.96,81209328.77,83592863.68,88887957.42,86396256.26,
"Congo, Dem. Rep.",COD,57200000,812600000,669745991.9,920031731.8,450677740.6,851177411,450360618.5,532463104.9,913820460.8,1004481695,694932406.6
"Congo, Rep.",COG,69660005.41,54131880.29,51113835.42,56950849.87,67048943.01,67643982.27,401640334.6,,,,
Colombia,COL,151325691.9,222951900,246242647.2,277970422,399081655.6,333683053.2,258624567,291727376.4,312663936.1,348172705.5,259399251.5
Comoros,COM,786611.6985,895331.0973,826399.5908,,981694.1795,1061490.514,920601.5079,1929145.874,4708655.668,4660667.553,
Cabo Verde,CPV,7962675.691,8626301.032,9824627.36,9847113.923,11394438.81,14207581.32,36460830.91,44233167.23,40252578.68,36830816.34,36749897.38
Costa Rica,CRI,259382912,290543358.3,346035432.8,402604637,419222829.2,407784045.2,416129213.5,468504811.4,506693451.6,530421226.3,496476613.7
Caribbean small states,CSS,571859154.8,866282368.5,992975107.8,911246497.1,1085302431,1190139761,1321595179,1408730927,1332160830,1039747235,798137065.4
Cuba,CUB,,,,,,,,,,,
Curacao,CUW,,132882681.6,135195530.7,117022346.4,121039106.1,130206703.9,127391061.5,141776536.3,140578526.3,130951692.7,117872715.4
Cayman Islands,CYM,,,,,,,371197417.7,395035319.9,449068951.1,501070778.2,
Cyprus,CYP,951993213.5,895418596.9,759751776.4,742261795.1,790206517.4,634530436.7,689854494.2,772338202.6,862266675.4,834505571.4,844976495.5
Czech Republic,CZE,1496982253,1522137850,1334625944,1079198620,1523333419,1376392339,1658604748,2055510448,2786200090,3447070354,3264848988
Germany,DEU,14682106066,16125581286,15581428609,19976705775,20084390152,18248805576,19348107340,21699115805,24351171161,23935924317,22024495026
Djibouti,DJI,11619335.93,12857231.28,12407087.51,,,,,,,,1688039.117
Dominica,DMA,8016.296296,8038.888889,1616552.222,1701588.889,24823246.3,24812587.59,21161683.97,20317892.46,10301319.72,,
Denmark,DNK,2833342704,3148221908,2979397707,3058995226,3171598140,2781262009,2914430190,3140591942,3392801094,3363422949,3386838622
Dominican Republic,DOM,534000000,565500000,565200000,531100000,574800000,585000000,617100000,651400000,622700000,741100000,627000000
Algeria,DZA,27971375.75,30901604.94,44242618.92,38715810.2,295922112.1,72128990.59,76633496.32,214378056.7,87006383.21,81545364.58,149237303.7
East Asia & Pacific (excluding high income),EAP,17027968467,18625170251,19028170060,20017979401,24187555898,26476934563,27269020293,36853021737,39124597230,41991865281,40863017400
Early-demographic dividend,EAR,49519826652,51845551139,56123182482,67032593014,67006442501,69020821790,68105649563,69175456219,68364067868,62425589120,61495759829
