Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294658668,0.273948793,0.309512297,0.313932032,0.101537876,0.117402728,0.120342209,0.097298132,0.035345887,0.057850352,0.069537387,0.068489209,0.013543394,0.065429932,0.035175564,0.042735879,0.198675497,0.246235246,0.362173038,0.207992522,0.208150745,0.191756667,0.232342375,0.26748888,0.272830662,1.76571642,1.815411735,1.15297067,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,0.566856029,0.586474995,0.644819802,0.714557715,0.79315642,1.053381527,1.145073521,1.127495164,1.049867446,0.814136097,0.952205419,0.943317646,1.090053704,0.913644439,0.884165236,0.976870765,0.880325675,0.978085728,0.929959568,0.78599691,1.06150835,1.180725863,1.235599976,1.175158308,0.96757803,1.144325984,1.013694618,1.046595704,0.739949266,0.74770113,0.77650874,0.847359693,0.977018457,0.978805435,1.054450507,1.048611489,1.020786809,1.108822641,1.230164547,1.078137832,1.05752265,1.343353566,1.430722401,1.446989213
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.885729903,1.131073088,2.385172482,1.006030185,1.09699276,1.688459303,1.236852538,1.751257176,3.483846955,4.360010592,4.378073761,4.295098424,3.983008209
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,0.430065356,0.479422276,0.428088109,0.480210853,0.226666697,0.200646143,0.268755888,0.282987072,0.36212929,0.519019829,0.531187461,0.588057987,0.632202743,0.598181615,0.652402179,0.74904916,1.591242581,1.434396326,1.000322442,0.947036511,1.107364207,1.006011279,1.6866366,1.725174972,1.551372647,1.407530281,1.400052513,1.75758959,5.535250091,5.050133025,4.669233325,4.121917899,4.442674953,4.102154679,4.195243114,3.862472789,3.475599221,3.432497598,4.121103083,4.127791083,4.714920606,4.769224763,4.477959131,3.723543055
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068314396,,,,,,,,,0,0,0,0.092709835,0.000230927,0.021446474,0.000183157,0.031509531,0.026799391,0.021254994,0.009565679,0.003943727,0.001161277,0.001558162,0.003853256,0.012924811
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.27596153,28.00942102,16.32684291,17.85800219,17.21754809,13.29634379,19.80151156,12.67698969,17.1764078,17.82973648,16.87116289,15.83800774,16.15481662,16.01704173,15.28165496,13.74895381,14.4828063,14.26159215,13.30245478,12.04023559,11.52428634,10.03308017,10.74230409,11.33644445,11.01076686,10.07567833,9.627042179,9.634654078,9.905576617
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.298076692,2.108321573,2.180131766,1.936950106,2.070574783,2.082988679,1.904515521,2.009895614,2.00949721,2.241041118,2.398841185,2.424654054,2.589961022,2.473084493,2.508370476,3.213163812
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,,,,,,,,,,,,,,,,,,,0.044763628,0.06064778,0.072763254,0.053382925,0.03321176,0.026928487,0.040459211,0.030537228,0.028845865,0.030601355,0.023992365,0.034656934,0.016158201,0.010078011,0.006731104,0.024372553,0.024238658,0.02464813,0.02388391,0.022434004,0.022913665,0.022678936,0.030380901,0.070562818,0.211442421,0.214300875,0.189350127,0.217417891,0.232474118,0.210933765,0.195029381,0.188764794,0.152091368,0.131540527,0.105778682,0.096916675,0.096015201,0.083133102,0.070234441,0.074567446,0.100930169,0.121618083,0.164716335
