Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,4972067.039,5307262.57,4860335.196,6337950.838,7465211.173,8083713.408,52682566.15,56140340.16,36920295.45,34264018.27,35002157.94
Africa Eastern and Southern,AFE,7855154600,9436889410,9539960622,9473585444,10608582181,10991470022,10178693479,10677850825,14314470632,13888445465,14031938759
Afghanistan,AFG,378206657,179116561.4,219416087.5,347165291.8,253367821.6,348624717.3,627710802.4,822731630.2,803546453.8,828571904.1,788917115.2
Africa Western and Central,AFW,23801409771,27622665816,27691428239,28076549123,29071300858,31217029490,28377933322,31584313233,34552486785,34900557936,28510366089
Angola,AGO,17972037,204751.1,40348853.99,36637411.34,30971119.27,11114711.6,3988048.38,1418195.84,1579247.15,3445473.468,8053050.894
Albania,ALB,1586574271,1552078514,1419772515,1281848114,1421007454,1290863508,1306009167,1311822432,1458210056,1472812242,1465987212
Andorra,AND,,,,,,,,,,,
Arab World,ARB,37780646735,38944864662,45933616317,47228856825,53122149553,49328023741,48647574275,51685563033,54416712131,56486109879,58222624106
United Arab Emirates,ARE,,,,,,,,,,,
Argentina,ARG,644300740.1,697379575.1,577532962.1,535004409.4,505346891.7,494433532.1,391579047.7,479937459.8,522441503,541741886.7,630973885.3
Armenia,ARM,1669336819,1798624692,1914983997,2192193827,2078618315,1491475903,1382330887,1538655752,1488016544,1527961727,1327006085
American Samoa,ASM,,,,,,,,,,,
Antigua and Barbuda,ATG,20197666.67,20292610,20856220,21127350.74,32078216.23,31244412.26,26705675.65,24020044.35,24706009.46,24706009.46,24706009.46
Australia,AUS,1864472761,2449287569,2405316867,2389397584,2292096914,2174651380,2056844753,2001928453,1861417361,1752198311,1190622992
Austria,AUT,2983488446,3250804926,3028188699,3261505684,3239901779,2863606817,2887576591,2956934246,3107741914,3045303722,3089484297
Azerbaijan,AZE,1410296000,1893080000,1990180000,1733168000,1846424000,1269964000,643148000,1133371000,1225790000,1275168755,1403087000
Burundi,BDI,34498929.51,45463176.87,46433649.09,48639473.9,56262591.43,51041087.26,31276058.24,33725358.65,48328631.78,48328631.78,45630633.6
Belgium,BEL,10993669270,11728548905,11171452382,11695085498,12161003266,10464912315,10786360682,11435497317,12448569091,12178118946,12693508977
Benin,BEN,139569120.5,172185775.3,207763555.2,248800533.7,304659193.7,214449579.5,221726215,195776833.9,198742396,216993145.2,206141166.1
Burkina Faso,BFA,120462189.1,221068018.7,209980744.4,308469520.2,396308040.7,384985616.4,397373892.5,416839243.1,455650092.2,467251841.7,464677564.4
Bangladesh,BGD,10850211617,12071073184,14119627034,13866954019,14987531479,15295536095,13574285886,13501933033,15566241930,18363859531,21749701161
Bulgaria,BGR,1332910000,1483190000,1448880000,1666960000,1684740000,1494740000,1665570000,2193590000,2408230000,2342370000,954920000
Bahrain,BHR,,,,,,,,,,,
"Bahamas, The",BHS,,,,,,,,,,,
Bosnia and Herzegovina,BIH,1822304847,1958230200,1845715377,1957987470,2107139725,1801111958,1845995097,2016872695,2262876954,2297382856,1858044738
Belarus,BLR,575300000,890600000,1053100000,1213500000,1231300000,931500000,976600000,1253800000,1445800000,1418800000,1013700000
Belize,BLZ,78134569.59,75323553.82,75945646.69,74401710.37,80334417.62,84744074.54,96671006.68,90214516.3,92512738.78,96816750.12,120683619.4
Bermuda,BMU,1261415801,1175291441,1190775527,1224886398,1335682710,1445391572,1445943330,1505955305,1446756401,1547229198,1547229198
Bolivia,BOL,960212746.8,1042996647,1110532147,1201339479,1176966248,1190958194,1246634759,1407996989,1388281654,1335620197,1126574024
Brazil,BRA,3082801866,3214602243,2784072055,2717675069,2647908513,2896909952,2739786527,2698770651,2933489276,3213621677,3566219438
Barbados,BRB,81868796.19,147293266.2,152319842.4,190981633,188716961,198038294.8,155599422.5,108317190.3,108317190.3,108317190.3,108317190.3
Brunei Darussalam,BRN,,,,,,,,,,,869996.0454
Bhutan,BTN,8273480.865,10460534,18144730.43,11804283.71,14292342.89,19656507.92,34343456.66,43153828.43,58148515.8,56658762.94,83435182.59
Botswana,BWA,22321278.92,20409878.29,18103143.92,36004335.94,46123119.08,30045619.57,24622501.68,38956561.47,44309897.4,59360104.14,35615908.37
Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,1199157750,1227344978,1254600490,1336538606,1351304689,1274255368,1289324860,1268185480,1295567217,1311782569,851834668.7
Central Europe and the Baltics,CEB,20095292445,22032681348,21507437879,28616346056,30664408715,28573392474,30252612707,32569793513,34690097308,35337234644,31048595353
Switzerland,CHE,2494622577,2615246749,2420420106,2437063152,2406168041,2516975789,2524093963,2591809298,2550753828,2413307192,2556614570
Channel Islands,CHI,,,,,,,,,,,
Chile,CHL,62324923.11,70917381.9,72030040.74,71108144.91,60612706.42,58992215.84,64551112.66,66541753.59,69856849.79,69372771.36,70926721.44
