Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,0.207992522,0.208150745,0.191756667,0.232342375,0.26748888,0.272830662,1.76571642,1.815411735,1.15297067,,
Africa Eastern and Southern,AFE,0.978805435,1.054450507,1.048611489,1.020786809,1.108822641,1.230164547,1.078137832,1.05752265,1.343353566,1.430722401,1.446989213
Afghanistan,AFG,2.385172482,1.006030185,1.09699276,1.688459303,1.236852538,1.751257176,3.483846955,4.360010592,4.378073761,4.295098424,3.983008209
Africa Western and Central,AFW,4.102154679,4.195243114,3.862472789,3.475599221,3.432497598,4.121103083,4.127791083,4.714920606,4.769224763,4.477959131,3.723543055
Angola,AGO,0.021446474,0.000183157,0.031509531,0.026799391,0.021254994,0.009565679,0.003943727,0.001161277,0.001558162,0.003853256,0.012924811
Albania,ALB,13.30245478,12.04023559,11.52428634,10.03308017,10.74230409,11.33644445,11.01076686,10.07567833,9.627042179,9.634654078,9.905576617
Andorra,AND,,,,,,,,,,,
Arab World,ARB,2.082988679,1.904515521,2.009895614,2.00949721,2.241041118,2.398841185,2.424654054,2.589961022,2.473084493,2.508370476,3.213163812
United Arab Emirates,ARE,,,,,,,,,,,
Argentina,ARG,0.152091368,0.131540527,0.105778682,0.096916675,0.096015201,0.083133102,0.070234441,0.074567446,0.100930169,0.121618083,0.164716335
Armenia,ARM,18.02684075,17.73422351,18.03301895,19.71137504,17.90444031,14.13274122,13.10746416,13.3477448,11.94432078,11.17519079,10.49393354
American Samoa,ASM,,,,,,,,,,,
Antigua and Barbuda,ATG,1.758306491,1.783750822,1.738093436,1.788258822,2.566804883,2.337441865,1.858969167,1.636267572,1.538977853,1.486555959,1.745934617
Australia,AUS,0.162674303,0.175368756,0.155567965,0.151593778,0.156192325,0.16088341,0.170149305,0.150612836,0.129907308,0.125464678,0.089459927
Austria,AUT,0.761302288,0.754036599,0.739619458,0.758368508,0.733015867,0.749993472,0.729981163,0.710447521,0.68321146,0.684221995,0.716905205
Azerbaijan,AZE,2.665497632,2.870406812,2.856009747,2.336926018,2.453905665,2.392800872,1.698415998,2.773413677,2.601811667,2.646993247,3.293076698
Burundi,BDI,1.697669016,2.033399846,1.990035088,1.983968525,2.079345778,1.644155807,1.056751739,1.063122645,1.591360951,1.604371685,1.400491449
Belgium,BEL,2.285815994,2.244073368,2.251486156,2.241972364,2.274453324,2.264398913,2.267282551,2.280154712,2.290821683,2.283734789,2.463168728
Benin,BEN,1.46370289,1.610217905,1.864795595,1.987566799,2.293338515,1.88309227,1.875687165,1.54134891,1.394586885,1.507767335,1.317065908
Burkina Faso,BFA,1.191560133,1.829988329,1.671685976,2.294425846,2.842340671,3.253722397,3.096412695,2.954848789,2.837189421,2.922003511,2.675317969
Bangladesh,BGD,9.412125648,9.383758248,10.58794022,9.245224563,8.669052862,7.840701094,6.130693205,5.407025411,5.680302234,6.069425316,6.707918944
Bulgaria,BGR,2.645616721,2.584575324,2.681460011,2.997299435,2.960774926,2.951264503,3.095458317,3.71974468,3.636153345,3.416584718,1.381837209
Bahrain,BHR,,,,,,,,,,,
"Bahamas, The",BHS,,,,,,,,,,,
Bosnia and Herzegovina,BIH,10.60911711,10.50286512,10.71417846,10.7708945,11.35413688,11.1100596,10.91443862,11.15519645,11.21151322,11.37178657,9.389554732
Belarus,BLR,1.005373923,1.442085307,1.60325547,1.606689245,1.56228906,1.649994478,2.046407398,2.291025039,2.408411793,2.202775612,1.682259581
Belize,BLZ,5.673531064,5.156329541,4.986917792,4.710724343,4.81813281,4.922113361,5.402715354,4.854079944,4.828683599,4.883523061,6.842653795
Bermuda,BMU,19.0129001,18.61791495,18.66949558,18.94421005,20.82452773,21.72037969,20.95597074,21.08497167,20.02616992,20.67351466,
Bolivia,BOL,4.886670552,4.352523439,4.100250144,3.91834763,3.566976427,3.608942543,3.672932808,3.753793546,3.445923814,3.265948534,3.07061595
Brazil,BRA,0.139564554,0.122872909,0.112935455,0.109902437,0.107814144,0.160741696,0.152574833,0.130785576,0.153029231,0.171136632,0.246842759
Barbados,BRB,1.807258194,3.162496322,3.304118057,4.083421702,4.018246801,4.200175924,3.221520134,2.175917844,2.129503397,2.079423887,2.481209261
Brunei Darussalam,BRN,,,,,,,,,,,0.007240279
Bhutan,BTN,0.534465586,0.588629017,1.018633644,0.672143174,0.749431689,0.981060364,1.590731821,1.761118433,2.376448329,2.238992574,3.463100051
Botswana,BWA,0.174566998,0.132946294,0.125891089,0.241611445,0.283820928,0.208352171,0.157368941,0.223816405,0.237417709,0.323270756,0.225678059
Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,0.074143671,0.068439567,0.068618655,0.072378451,0.074833437,0.081866248,0.08438019,0.076893949,0.0752426,0.075321563,0.051813586
