Year,country_code,country_name,gdp,new_income_group,new_region,population,remittance_growth_rate,remittance_paid,remittance_per_capita,remittance_received,remittance_to_gdp_ratio,remittance_volatility,unemployment_rate,unemployment_rate_change,net_migration
1970,AFG,Afghanistan,0,Low income,South Asia,10752971,0,0,0,0,0,293485541,0,0,4458
1971,AFG,Afghanistan,0,Low income,South Asia,11015857,0,0,0,0,0,293485541,0,0,-12801
1972,AFG,Afghanistan,0,Low income,South Asia,11286753,0,0,0,0,0,293485541,0,0,-4050
1973,AFG,Afghanistan,0,Low income,South Asia,11575305,0,0,0,0,0,293485541,0,0,-3030
1974,AFG,Afghanistan,0,Low income,South Asia,11869879,0,0,0,0,0,293485541,0,0,-20009
1975,AFG,Afghanistan,0,Low income,South Asia,12157386,0,0,0,0,0,293485541,0,0,-44418
1976,AFG,Afghanistan,0,Low income,South Asia,12425267,0,0,0,0,0,293485541,0,0,-85430
1977,AFG,Afghanistan,0,Low income,South Asia,12687301,0,0,0,0,0,293485541,0,0,-83115
1978,AFG,Afghanistan,0,Low income,South Asia,12938862,0,0,0,0,0,293485541,0,0,-117186
1979,AFG,Afghanistan,0,Low income,South Asia,12986369,0,0,0,0,0,293485541,0,0,-481199
1980,AFG,Afghanistan,0,Low income,South Asia,12486631,0,0,0,0,0,293485541,0,0,-1205401
1981,AFG,Afghanistan,0,Low income,South Asia,11155195,0,0,0,0,0,293485541,0,0,-2127145
1982,AFG,Afghanistan,0,Low income,South Asia,10088289,0,0,0,0,0,293485541,0,0,-586943
1983,AFG,Afghanistan,0,Low income,South Asia,9951449,0,0,0,0,0,293485541,0,0,-192869
1984,AFG,Afghanistan,0,Low income,South Asia,10243686,0,0,0,0,0,293485541,0,0,322022
1985,AFG,Afghanistan,0,Low income,South Asia,10512221,0,0,0,0,0,293485541,0,0,-210572
1986,AFG,Afghanistan,0,Low income,South Asia,10448442,0,0,0,0,0,293485541,0,0,-427073
1987,AFG,Afghanistan,0,Low income,South Asia,10322758,0,0,0,0,0,293485541,0,0,-402606
